Window,Train_Period_End_Date,Test_Period_Start_Date,Test_Period_End_Date,N_Reservoir,Spectral_Radius,Threshold_Buy,Threshold_Sell,Cumulative_Return (%),MDD (%),Sharpe_Ratio
3,2016-12-27,2016-12-28,2017-08-25,512,0.87,0.7,-0.7,-41.78,48.83,-1.61
4,2017-08-25,2017-08-28,2018-04-26,512,0.87,0.7,-0.7,27.42,13.43,1.46
5,2018-04-26,2018-04-27,2018-12-24,512,0.87,0.7,-0.7,-3.03,31.47,0.05
6,2018-12-24,2018-12-26,2019-08-23,512,0.87,0.7,-0.7,37.67,16.90,1.48
7,2019-08-23,2019-08-26,2020-04-23,512,0.87,0.7,-0.7,6.36,23.73,0.44
8,2020-04-23,2020-04-24,2020-12-18,512,0.87,0.7,-0.7,-7.43,23.91,-0.41
9,2020-12-18,2020-12-21,2021-08-19,512,0.87,0.7,-0.7,-28.05,46.14,-1.11
10,2021-08-19,2021-08-20,2022-04-19,512,0.87,0.7,-0.7,37.01,19.05,1.31
11,2022-04-19,2022-04-20,2022-12-15,512,0.87,0.7,-0.7,-10.94,42.95,-0.14
12,2022-12-15,2022-12-16,2022-12-30,512,0.87,0.7,-0.7,5.34,4.62,2.81
